一类动词,,,,,,,,,,,,,
,,会う,见面，碰见,会います,あって,あわない,あった,あえ,あおう,あえば,あえる,あわれる,あわせる
,,合う,与……一致,合います,あって,あわない,あった,ー,ー,あえば,ー,ー,あわせる
,,上げる,（从地处向高处）上，登,上がります,あがって,あがらない,あがった,あがれ,あがろう,あがれば,あがれる,あがられる,あがらせる
,,開く,开，打开，开着,開きます,あいて,あかない,あいた,あけ,ー,あけば,ー,ー,ー
,,空く,空，闲，无人使用,空きます,あいて,あかない,あいた,ー,ー,あけば,ー,ー,ー
,,預かる,收存，保管，代人保管,預かります,あずかって,あずからない,あずかった,あずかれ,あずかろう,あずかれば,あずかられる,あずかられる,あずからせる
,,遊ぶ,游玩，玩耍；闲置,遊びます,あそんで,あそばない,あそんだ,あそべ,あそぼう,あそべぼ,あそべる,あそばれる,あそばせる
,,当たる,碰上；猜中；相当于,当たります,あたって,あたらない,あたった,あたれ,あたろう,あたれば,あたれる,あたられる,あたらせる
,,集まる,集合，聚集；汇合,集まります,あつまって,あつまらない,あつまった,あつまれ,あるまろう,あつまれば,あつまれる,あつまられる,あつまらせる
,,謝る,赔礼道歉,謝ります,あやまって,あやまらない,あやまった,あやまれ,あやまろう,あやまれば,あやまられる,あやまられる,あやまらせる
,,洗う,洗，冲洗；调查，查清,洗います,あらって,あらわない,あらった,あらえ,あらおう,あらえば,あらえる,あらわれる,あらわせる
,,ある,有,あります,あって,ない,あった,ー,ー,あれば,ー,ー,ー
,,歩く,走，步行,歩きます,あるいて,あるかない,あるいた,あるけ,あるこう,あるけば,あるける,あるかれる,あるかせる
,,言う,说，讲；叫做，称为,言います,いって,いわない,いった,いえ,いおう,いえば,いえる,いわれる,いわせる
,,行く,去，走；进行，进展,行きます,いって,いかない,いった,いけ,いこう,いけば,いける,いかれる,いかせる
,,急ぐ,急忙，赶忙,急ぎます,いそいで,いそがない,いそいだ,いそげ,いそごう,いそげば,いそげる,いそがける,いそがせる
,,いたす,（自谦）做，办；尽力,いたします,いたして,いたさない,いたした,いたせ,いたそう,いたせば,ー,ー,ー
,,いただく,领取，领受；（自谦）吃，喝,いただきます,いただいて,いただかない,いただいた,いただけ,いただこう,いただけば,いただける,ー,ー
,,至る,到；来到,至ります,いたって,いたらない,いたった,いたけ,いたろう,いたれば,いたれる,いたられる,いたらせる
,,いらっしゃる,来，去，在,いらっしゃいます,いらっしゃって,いらっしゃらない,いらっしゃった,いらっしゃい,ー,いらっしゃれば,ー,ー,ー
,,入り組む,复杂,入り組みます,いりくんで,いりくまない,いりくんだ,ー,ー,いりくめば,ー,ー,いりくませる
,,要る,要，需要,要ります,いって,いらない,いった,ー,ー,いれば,ー,ー,ー
,,祝う,庆祝，祝贺,祝います,いわって,いわわない,いわった,いわえ,いわおう,いわえば,いわえる,いわわれる,いわわせる
,,伺う,问，打听,伺います,うかがって,うかがわない,うかがった,うかがえ,うかがおう,うかがえば,うかがえる,ー,うかがわせる
,,浮かぶ,漂，浮，浮现，想起,浮かびます,うかんで,うかばない,うかんだ,うかべ,ー,うかべば,うかべられる,うかべれる,うかばせる
,,動かす,动摇，移动；感动,動かします,うごかして,うごかさない,うごかした,うごかせ,うごかそう,うごかせば,うごかせる,うごかされる,うごかさせる
,,動く,动，移动，转移,動きます,うごいて,うごかない,うごいた,うごけ,うごこう,うごけば,うごける,うごかれる,うごかせる
,,歌う,唱歌,歌います,うたって,うたわない,うたった,うたえ,うたおう,うたえば,うたえる,うたわれる,うたわせる
,,売る,卖，出售,売ります,うって,うらない,うった,うれ,うろう,うれば,うれる,うられる,うらせる
,,選ぶ,选，挑选，选择,選びます,えらんで,えらばない,えらんだ,えらべ,えらぼう,えらべば,えらべる,えらばれる,えらばせる
,,おいでになる,,おいでになります,おいでになって,おいでにならない,おいでになった,ー,ー,おいでになれば,おいでになれる,おいでになられる,ー
,,置く,放置，设置,置きます,おいて,おかない,おいた,おけ,おこう,おけば,おける,おかれる,おかせる
,,送る,寄，送；送行,送ります,おくって,おくらない,おくった,おくれ,おくろう,おくれば,おくれる,おくられる,おくらせる
,,起こす,叫醒，唤醒；使发生,起こします,おこして,おこさない,おこした,おこせ,おこおう,おこせば,おこせる,おこされる,おこさせる
,,行い,做，进行，举行,行います,おこなって,おこなわない,おこなった,おこなえ,おこなおう,おこなえば,おこなえる,おこなわれる,おこなわせる
,,怒る,发怒，生气,怒ります,おこって,おこらない,おこった,おこれ,おころう,おこれば,おこれる,おこられる,おこらせる
,,押す,推，挤；压，按,押します,おして,おさない,おした,おせ,おそう,おせば,おせる,おされる,おさせる
,,おっしゃる,说，叫，称,おっしゃいます,おっしゃって,おっしゃらない,おっしゃった,ー,ー,おっしゃれば,ー,おっしゃられる,ー


一类动词,,,,,,,,,,,,,
,,落とす,丢失，失落；降低，减低,落とします,おとして,おとさない,おとした,おとせ,おとそう,おとせば,おとせる,おとされる,おとさせる
,,踊る,跳舞,踊ります,おどって,おどらない,おどった,おどれ,おどろう,おどれば,おどれる,おどられる,おどらせる
,,驚く,吃惊，惊讶,驚きます,おどろいて,おどろかない,おどろいた,おどろけ,おどろこう,おどろけば,おどろける,おどろかける,おどろかせる
,,思い出す,想起，相出,思い出します,おもいだして,おもいださない,おもいだした,おもいだせ,おもいだそう,おもいだせば,おもいだせる,おもいだされる,おもいださせる
,,思う,想，认为，以为,思います,おもって,おもわない,おもった,おもえ,おもおう,おもえば,おもえる,おもわれる,おもわせる
,,泳ぐ,游泳,泳ぎます,およいで,およかない,およいだ,およげ,およごう,およげば,およげる,およがれる,およがせる
,,おる,折断，弄断；（自谦）有，在,おります,おって,ー,おった,ー,ー,ー,ー,ー,ー
,,下ろす,拿下，取下,下ろします,おろして,おろさない,おろした,おろせ,おろそう,おろせば,おろせる,おろされる,おろさせる
,,終わる,结束，终了,終わります,おわって,おわらない,おわった,おわれ,おわろう,おわれば,おわれる,おわられる,おわらせる
,,買う,买，购买,買います,かって,かわない,かった,かえ,かおう,かえば,かえる,かわれる,かわせる
,,飼う,养，饲养,飼います,かって,かわない,かった,かえ,かおう,かえば,かえる,かわれる,かわせる
,,返す,还，归还；翻过来,返します,かえして,かえさない,かえした,かえせ,かえそう,かえせば,かえせる,かえされる,かえさせる
,,帰る,回来，回去,帰ります,かえって,かえらない,かえった,かえれ,かえろう,かえれば,かえれる,かえられる,かえらせる
,,かかる,花费，需要；挂着，悬着,かかります,かかって,かからない,かかった,かかれ,かかろう,かかれば,かかれる,かかられる,かからせる
,,掛かる,覆盖在…上,掛かります,かかって,かからない,かかった,かかれ,かかろう,かかれば,かかれる,かかられる,かからせる
,,書く,写,書きます,かいて,かかない,かいた,かけ,かこう,かけば,かける,かかれる,かかせる
,,かく,缺乏，缺少,かきます,かいて,かかない,かいた,かけ,かこう,かけば,かける,かかれる,かかせる
,,飾る,装饰，装修,飾ります,かざって,かざらない,かざった,かざれ,かざろう,かざれば,かざれる,かざられる,かざらせる
,,貸す,借出，出租,貸します,かして,かさない,かした,かせ,かそう,かせば,かせる,かされる,かさせる
,,稼ぐ,赚钱；赢得，取得,稼ぎます,かせいで,かせがない,かせいだ,かせげ,かせごう,かせげば,かせげる,かせがれる,かせがせる
,,勝つ,赢，获胜，战胜,勝ちます,かって,かたない,かった,かて,かとう,かてば,かてる,かたれる,かたせる
,,かぶる,戴，蒙，盖,かぶります,かぶって,かぶらない,かぶった,かぶれ,かぶろう,かぶれば,かぶれる,かぶられる,かぶらせる
,,かむ,咬，咀嚼,かみます,かんで,かまない,かんだ,かめ,かもう,かめば,かめる,かまれる,かませる
,,通う,来往，往返；相同，流通,通います,かよって,かよわない,かよった,かよえ,かよおう,かよえば,かよえる,かよわれる,かよわせる
,,渇く,渴,渇きます,かわいて,かわかない,かわいた,ー,ー,かわけば,ー,ー,ー
,,乾く,干，干燥,乾きます,かわいて,かわかない,かわいた,かわけ,ー,かわけば,ー,ー,ー
,,変わる,变化，改变；特殊,変わります,かわって,かわらない,かわった,かわれ,かわろう,かわれば,かわれる,かわられる,かわらせる
,,頑張る,继续努力；坚持，顽固,頑張ります,がんばって,がんばらない,がんばった,がんばれ,がんばろう,がんばれば,がんばれる,がんばられる,がんばらせる
,,聞く,听，问，打听,聞きます,きいて,きかない,きいた,きけ,きこう,きけば,きける,きかれる,きかせる
,,効く,有效，生效,効きます,きいて,かかない,きいた,ー,ー,きけば,ー,ー,ー
,,気づく,注意到，发觉，意识到,気づきます,きづいて,きづかない,きづいた,きづけ,きづこう,きづけば,きづける,きづかれる,きづかせる
,,決まる,规定，决定,決まります,きまって,きまらない,きまった,ー,ー,きまれば,ー,ー,ー
,,切る,切，砍，剪，打断；限定时间,切ります,きって,きらない,きった,きれ,きろう,きれば,きれる,きられる,きらせる
,,腐る,腐烂，生锈；堕落,腐ります,くさって,くさらない,くさった,ー,ー,くされば,ー,ー,くさらせる
,,くださる,给与,くださいます,くださって,くださらない,くださった,ください,ー,くだされば,ー,ー,ー
,,曇り,阴天；不愉快；模糊,曇ります,くもって,くもらない,くもった,くもれ,ー,くもれば,ー,ー,くもらせる
,,暮らす,生活，谋生，消磨时光,暮らします,くらして,くらさない,くらした,くらせ,くらそう,くらせば,くらせる,くらされる,くらさせる
,,繰り返す,反复，重复,繰り返します,くりかえして,くりかえさない,くりかえした,くりかえせ,くりかえそう,くりかえせば,くりかえせる,くりかえされる,くりかえさせる
,,消す,擦掉，关掉；消除；熄灭,消します,けして,けさない,けした,けせ,けそう,けせば,けせる,けされる,けさせる
,,ござる,有，是,ございます,ござって,ー,ござった,ー,ー,ー,ー,ー,ー
,,困る,为难，苦恼,困ります,こまって,こまらない,こまった,こまれ,こまろう,こまれば,こまれる,こまられる,こまらせる
,,込む,拥挤,込みます,こんで,こまない,こんだ,こめ,ー,こめば,ー,ー,ー
,,ご覧になる,看，过目，观赏,ご覧になります,ごらんになって,ごらんにならない,ごらんになった,ー,ー,ごらんになれば,ー,ごらんになられる,ー
,,転ぶ,跌倒，滚动,転びます,ころんで,ころばない,ころんだ,ころべ,ころばう,ころべば,ころべる,ころばれる,ころばせる
,,壊す,弄坏，破坏,壊します,こわして,こわさない,こわした,こわせ,こわそう,こわせば,こわせる,こわされる,こわさせる
